Adrresse,Prix,Ville,Region,Chambres,Salles de bain,Salles d'eau,Etages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
"283, chemin des Pionniers Est",277 000 $,L'Islet (L'Islet-Sur-Mer),Chaudière-Appalaches,3,1,,1,"1,200 ","12,889.78 ","2 494,00 $","134,00 $","1 503,00 $","382,00 $"
"74, chemin de la Perdrix",277 700 $,Notre-Dame-Des-Bois,Estrie,3,2,,1,900 ,"71,874.00 ","1 294,27 $","71,85 $",,"677,98 $"
"3, avenue de la Perdrix - Par Constructions Olivier Landry inc.",278 000 $,L'Islet,Chaudière-Appalaches,4,1,1,1,756 ,"6,674 ",,,,
"692, Grande Rue du Lac",278 000 $,St-Nérée,Chaudière-Appalaches,2,1,,1,528 ,"12,635.75 ","2 783,91 $","145,41 $","1 200,00 $","1 711,04 $"
Modèle à construire - Par les Habitations André Lemaire,278 570 $,Drummondville (Drummondville),Centre-du-Québec,2,1,,1,918 ,42x100 ,,,,
"124, rue Évangéline",279 000 $,Sept-Iles,Côte-Nord,3,1,1,2,"2,180 ","8,921.5 ","2 070,18 $","262,63 $","2 534,50 $","1 019,00 $"
"45, avenue du Parc",279 000 $,Amqui,Bas-Saint-Laurent,8,,,,,"9,700 ","4 116,00 $","500,00 $","3 600,00 $",
"306-2800, rue Quévillon",279 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),2,1,,,750 ,,"1 101,24 $","222,40 $","720,00 $","400,00 $"
"1570, rang Saint-Isidore",279 000 $,St-Philémon,Chaudière-Appalaches,3,2,,1,896 ,"160,000 ","1 504,18 $","109,30 $","1 200,00 $",
"4-894, avenue Murray",279 000 $,Montcalm,Québec Rive-Nord,2,1,,3,"1,043 ",,,,,
Quai 1648 - Par Groupe Evex,279 000 $,St-Sulpice,Lanaudière,,,,,,"10,000 ",,,,
"6152, chemin Saint-Martin",279 000 $,La Baie,Saguenay-Lac-Saint-Jean,6,2,,1,"1,302.43 ","24,902.3 ","2 777,00 $","170,00 $","4 200,00 $","2 600,00 $"
"42, 9e Avenue - Unité 3 ½ - Havre du Parc des Rapides - Par Unna Construction Inc",279 000 $,LaSalle,Montréal / l'Île,1,1,,1,,,,,,
"927, avenue du Phare Est",279 000 $,Matane,Bas-Saint-Laurent,,,,,,"24,435.15 ","3 651,00 $",,,
"124, rue René-Tremblay",279 000 $,Matane,Bas-Saint-Laurent,4,2,,1,1 090 ,90x96 ,"3 624,00 $","195,00 $",,
8e Rang,279 000 $,Lac-Etchemin,Chaudière-Appalaches,,,,,,"2,723,269.34 ",,,,
"Terrain 43, promenade des Cervidés",279 000 $,Morin-Heights,Laurentides,,,,,,"115,788.5 ","1 185,39 $","92,00 $",,
"151, rue des Tuileries",279 000 $,Ste-Foy,Québec Rive-Nord,3,2,,1,"1,000 ","7,020.22 ","2 727,00 $","236,00 $","314,00 $",
"170-172, 14e Avenue",279 000 $,Drummondville (Drummondville),Centre-du-Québec,2,1,,,,50x100 ,,,,
"277A-277B, rue Saint-Sacrement",279 000 $,Matane,Bas-Saint-Laurent,3,2,2,,,4 500.39 ,"3 562,01 $","154,23 $",,"1 130,00 $"
"6, rue Anseville",279 000 $,Rivière-Du-Loup,Bas-Saint-Laurent,4,2,,1,1 092 ,7 000 ,"2 570,00 $","150,00 $","2 130,00 $",
"554-345, boulevard Wilfrid-Lavigne",279 000 $,Gatineau (Aylmer),Outaouais,2,1,,1,881 ,939 ,"2 084,67 $","145,51 $","500,00 $",
rue du Lac-Marchand,279 000 $,St-Alphonse-Rodriguez,Lanaudière,,,,,,"1,179,724.59 ","655,67 $","200,00 $",,
"2881, rue des Hydrangées",279 000 $,Shawinigan (Grand-Mère),Mauricie,2,1,,1,900 ,"7,475 ","2 000,00 $",,"1 000,00 $",
"119, rue des Épinettes",279 000 $,Lachute,Laurentides,4,2,1,1,1 000 ,7 807 ,"2 173,55 $","400,00 $","2 990,00 $",
"3200, rue des Jonquilles",279 500 $,Drummondville (Drummondville),Centre-du-Québec,3,1,1,1,800 ,"4,133 ","1 686,00 $","270,52 $",,
"182, rue Principale",279 900 $,Ste-Lucie-De-Beauregard,Chaudière-Appalaches,6,3,2,2,"2,262 ",135.43x419.62 ,"1 950,00 $","292,00 $","3 375,00 $","2 000,00 $"
"1002, rue Pouliot",279 900 $,Baie-Comeau,Côte-Nord,5,3,,,,"9,774 ","4 418,71 $","236,00 $","3 034,06 $","1 802,08 $"
"3-3, rue Alphonse-Labelle",279 900 $,Gatineau (Buckingham),Outaouais,3,1,,1,"1,151.95 ","1,960.32 ","2 079,68 $","130,00 $","1 200,00 $","600,00 $"
Modèle à construire - Boisé Natura - Par Construction CRD,279 900 $,Ste-Catherine-de-la-JC,Québec Rive-Nord,2,1,1,1,,"6,000 ",,,,
"12, chemin Murray Hill",279 900 $,Bristol,Outaouais,2,1,,1,1 200 ,882 ,"1 000,00 $","100,00 $","1 000,00 $",
"2-2510, avenue Charles-de-Foucauld",279 900 $,Beauport,Québec Rive-Nord,2,1,1,2,"1,160 ",,"2 426,00 $","218,00 $","750,00 $",
"10753, avenue Royale",279 900 $,Ste-Anne-de-Beaupré,Québec Rive-Nord,4,2,,2,"2,305 ","14,025 ","2 090,00 $","241,00 $","2 960,00 $","1 100,00 $"
"145, rue Donald",279 900 $,St-Calixte,Lanaudière,3,1,,2,"1,380 ","38,300.15 ","2 190,00 $","171,00 $","600,00 $",
"304-1952, rue Saint-Georges",279 900 $,Longueuil (LeMoyne),Montérégie (Rive-Sud Montréal),2,1,,3,796 ,923.54 ,"1 513,81 $","148,00 $","500,00 $","360,00 $"
"206-1360, avenue du Golf-de-Bélair",279 900 $,Val-Bélair,Québec Rive-Nord,2,1,1,2,979.51 ,,"1 984,12 $","158,04 $",,
"5852, avenue des Giroflées",279 900 $,Charlesbourg,Québec Rive-Nord,4,1,1,2,1 280 ,2 201.22 ,"2 400,00 $","185,00 $","1 400,00 $","1 400,00 $"
"899, rue Henry-Carleton-Monk",279 999 $,Granby,Estrie,3,1,,1,"1,166 ",,"1 709,25 $","137,22 $","1 176,00 $",
"313-2400, avenue de Lisieux",280 000 $,Beauport,Québec Rive-Nord,1,1,,1,826 ,,"2 095,00 $","475,00 $","730,00 $",
"13, rue de l'Église",280 000 $,St-Marc-Du-Lac-Long,Bas-Saint-Laurent,3,3,1,2,"3,038.65 ",85.99x342.78 ,"3 022,82 $","117,79 $","1 536,00 $",
"184, rue Desjardins",280 000 $,Mandeville,Lanaudière,3,1,,2,"1,774 ","9,000 ","2 050,00 $","172,00 $",,
"960, 87e Rue",280 000 $,St-Georges,Chaudière-Appalaches,5,1,,1,"1,056.27 ",100x100 ,"2 126,00 $","154,00 $","1 050,00 $","1 300,00 $"
"3130, chemin du Lac Sept Îles",280 000 $,St-Raymond,Portneuf,,,,,,77 000 ,"315,00 $","87,00 $",,
"15, rue Omer",280 000 $,Moisie,Côte-Nord,3,1,,2,,"18,399.83 ","1 599,00 $","112,00 $","1 954,00 $","881,00 $"
"8005, boulevard Wilfrid-Hamel",280 000 $,Ste-Foy,Québec Rive-Nord,3,2,,2,"1,260 ","2,981.6 ","2 283,61 $","292,40 $","1 500,00 $",
"7564D, boulevard Wilfrid-Hamel",280 000 $,Ste-Foy,Québec Rive-Nord,2,1,1,2,"1,292 ",,"2 281,19 $","519,77 $","700,00 $","200,00 $"
"94-96, avenue Saint-Georges",280 000 $,Roberval,Saguenay-Lac-Saint-Jean,5,2,,,,203.18x47.47 ,,,"2 600,00 $","1 927,72 $"
"295, 122e Rue",280 000 $,St-Georges,Chaudière-Appalaches,7,4,,,,150.75x61.29 ,"3 514,26 $","154,35 $",,"1 850,00 $"
"2400, avenue du Sagittaire",280 000 $,Bécancour (Gentilly),Centre-du-Québec,4,1,1,2,1 633 ,15 400 ,"2 170,60 $","168,96 $","938,00 $",
"6198, rue Bouffard",280 000 $,Ste-Croix,Chaudière-Appalaches,3,1,1,2,2 015 ,10 000 ,"2 448,27 $","187,49 $",,
"1405-7145, chemin des Forts",280 000 $,Lévis,Québec Rive-Sud (Lévis),2,1,,1,"1,074 ","1,558.72 ","2 685,57 $","241,12 $","797,96 $","692,00 $"
"700, Rue Gilles Lupien- Par Construction D.M. Turcotte",280 000 $,Trois-Rivières (Trois-Rivières),Mauricie,2,1,1,2,1 260 ,,"2 800,00 $","138,00 $",,
"615-999, rue Beauregard",280 000 $,Ste-Foy,Québec Rive-Nord,2,1,,1,900 ,,"2 297,95 $","196,61 $","731,35 $","237,62 $"
rue Marchand,280 900 $,St-Apollinaire,Chaudière-Appalaches,3,2,,1,1 540 ,5 000 ,,,,
"172, Rue de l'Oasis",280 900 $,Beauport,Québec Rive-Nord,3,1,1,2,,,,,,
"618, avenue Principale",282 000 $,St-Malachie,Chaudière-Appalaches,4,3,1,2,2 006 ,52 944.45 ,"2 736,00 $","142,00 $","1 820,00 $",
"101-184, rue Bourget",283 500 $,Le Sud-Ouest,Montréal / l'Île,,1,,1,405 ,,"1 390,00 $","676,00 $",,"455,00 $"
"156, rue de l'Aqueduc - Par Construction APP inc.",283 900 $,St-Raymond,Portneuf,2,1,,1,,,,,,
"230, boulevard Notre-Dame",284 000 $,Clermont,Charlevoix,6,2,,2,"2,690.98 ","70,256.04 ","1 846,75 $","141,13 $","3 500,00 $",
"11-3159, rue Principale Ouest",284 000 $,Magog,Estrie,2,1,,1,969 ,22 000 ,"1 134,00 $","111,00 $","750,00 $","480,00 $"
"940z, chemin des patriotes Sud",284 000 $,Otterburn Park,Montérégie (Rive-Sud Montréal),,,,,,"6,628 ",,,,
"201-3700, rue des Ruisseaux",284 500 $,Ste-Catherine,Montérégie (Rive-Sud Montréal),2,1,,1,796 ,"1,296.62 ","1 892,07 $","122,27 $",,
"B-459, rue des Mésanges",284 500 $,St-Isidore,Chaudière-Appalaches,3,2,,1,967 ,5 556 ,"2 547,46 $","187,14 $","1 500,00 $","625,00 $"
"568, boulevard des Hautes Plaines",284 800 $,Gatineau (Hull),Outaouais,2,1,,1,875.1 ,,,,,
"205-2015, boulevard Laframboise",284 900 $,St-Hyacinthe,Montérégie (Rive-Sud Montréal),1,1,,1,1 062 ,,"1 500,00 $","150,00 $","800,00 $","600,00 $"
"16, rue Bellevue",285 000 $,Pont-Rouge,Portneuf,3,1,,2,1 008 ,7 000 ,"2 662,12 $","573,29 $","1 900,00 $",
"978, 3e Rang",285 000 $,Hemmingford,Montérégie (Rive-Sud Montréal),2,1,1,1,864 ,"32,400 ","920,60 $","121,84 $",,
"625, rue des Forges",285 000 $,St-Léonard-D'Aston,Centre-du-Québec,3,1,1,2,1 728 ,6 750.05 ,"2 205,70 $","136,63 $",,
"404-274, rue du Parvis",285 000 $,Saint-Roch,Québec Rive-Nord,1,1,,1,"1,043 ",,"2 823,80 $","249,80 $","571,22 $","1 000,08 $"
"2215, rue des Véroniques",285 000 $,Alma,Saguenay-Lac-Saint-Jean,3,2,,1,,"6,500 ","2 250,00 $","460,00 $","1 600,00 $","520,00 $"
"251, rue Jacques Kanon",285 000 $,St-Romuald,Québec Rive-Sud (Lévis),4,2,,1,"1,065 ","6,004 ","2 358,00 $",,,
"888, rue des Vétérans",285 000 $,Rimouski (Pointe-Au-Père),Bas-Saint-Laurent,4,2,,1,917.09 ,"5,037.51 ","2 321,00 $","550,00 $","1 400,00 $","673,00 $"
"617, rue Laval",285 000 $,Ste-Marie,Chaudière-Appalaches,3,1,1,1,864 ,"6,017 ","2 955,00 $","300,00 $","2 000,00 $","720,00 $"
"1131, rue Bernier",285 000 $,Drummondville (Drummondville),Centre-du-Québec,3,1,1,2,"1,050 ",32.28x104.76 ,"1 825,06 $","143,22 $","2 040,00 $",
"582, boulevard Lamontagne",285 000 $,Ste-Marie,Chaudière-Appalaches,2,1,1,2,1 434 ,5 160 ,"3 030,00 $","200,00 $","1 560,00 $","600,00 $"
"1703, rue des Pelouses",285 000 $,Ste-Julienne,Lanaudière,3,1,,1,1 200 ,11 000 ,"2 892,51 $","365,00 $","1 380,00 $","125,00 $"
"01-2526, avenue Charles De Foucauld",285 700 $,Beauport,Québec Rive-Nord,2,1,1,2,"1,224 ",,"2 117,00 $","405,82 $","756,00 $","254,04 $"
Modèle Scandina - À construire - NOUVEAU SECTEUR - Par Terrain Dev Immobilier inc.,285 900 $,Ste-Brigitte-De-Laval,Québec Rive-Nord,2,1,1,2,,,,,,
"9201, rue Notre-Dame Est - Unité #302 - Les Cours Bellerive Phase 3",286 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,1,1,,1,567 ,,,,,
rue Kildare - Le Cabernet - Par Construction C.R.D,286 800 $,Ste-Brigitte-De-Laval,Québec Rive-Nord,3,1,1,2,,1 ,,,,
"67, rue Jennings - Par Construction C.R.D",286 800 $,Ste-Brigitte-De-Laval,Québec Rive-Nord,3,1,1,2,"1,120 ","3,444.45 ",,,"110,00 $",
"9, rue Buisson",287 000 $,Victoriaville,Centre-du-Québec,4,2,1,1,843.48 ,"4,900 ","2 299,00 $","132,00 $","2 120,00 $","900,00 $"
"9, rue Ghislaine-Lavoie - LE BOISÉ NATURA - Par Construction APP inc.",288 000 $,Ste-Catherine-de-la-JC,Québec Rive-Nord,3,1,1,2,,1 ,,,,
"98, chemin des Cèdres",288 000 $,Rigaud,Montérégie Ouest,,,,,,"47,145 ",,,,
rue Marie-Claude - Par Les Habitations RNF,"288 124,25 $",Plaisance,Outaouais,2,1,,1,975 ,"3,379.87 ",,,,
"80, route de la Plage-du-Sault",289 000 $,St-Pamphile,Chaudière-Appalaches,3,1,1,2,"1,344 ","22,500 ","1 342,66 $","135,00 $","1 200,00 $",
"100, 1re Avenue Ouest",289 000 $,Ste-Anne-Des-Monts,Gaspésie-Îles-de-la-Madeleine,30,,,,,213.25x98.43 ,,,,
"8830, rue Sainte-Barbe",289 000 $,Neufchatel,Québec Rive-Nord,2,1,1,1,640 ,"3,559.84 ","2 300,00 $","238,00 $",,
"1119, chemin des Îles",289 000 $,St-Henri-de-Lévis,Chaudière-Appalaches,3,1,1,2,18x40 ,54.99x99.02 ,"1 168,00 $",,"1 500,00 $",
"81, rue Principale",289 000 $,Chénéville,Outaouais,2,,,,,"23,112 ","3 520,00 $","469,32 $","6 500,00 $","1 950,00 $"
"1102, rue Hébert",289 000 $,Desbiens,Saguenay-Lac-Saint-Jean,,,,,,"24,961.51 ","4 877,93 $","203,39 $","402,42 $","4 016,51 $"
chemin Aubertin,289 000 $,St-Donat,Lanaudière,,,,,,"43,560 ",,,,
"45, chemin du Belvedère",289 000 $,Ste-Marguerite-De-Lingwick,Estrie,3,1,,2,"1,560 ","65,340.00 ","369,00 $",,"1 200,00 $","500,00 $"
"203-201, rue de l'Union",289 000 $,Coaticook,Estrie,2,1,,1,"1,053 ",97.9 ,"2 001,97 $","159,05 $","811,83 $","431,64 $"
rue du Geai-Bleu - Par Construction Impec inc.,289 000 $,St-Apollinaire,Chaudière-Appalaches,5,1,1,2,"1,408 ","4,500 ",,,,
"4020, chemin de l'Église",289 000 $,Chertsey,Lanaudière,2,1,1,2,"1,200 ","37,000 ","1 424,46 $","100,00 $","2 000,00 $","900,00 $"
"501, rue Laroche",289 000 $,Ste-Émélie-De-L'Énergie,Lanaudière,2,1,,1,598 ,"126,930 ","1 129,00 $",,,
"1133, rue de Dieppe",289 000 $,Baie-Comeau,Côte-Nord,4,1,1,2,"2,314.24 ","12,149.23 ","4 395,08 $","213,84 $","2 800,00 $",
"314, Vieux Chemin",289 000 $,St-Félix-D'Otis,Saguenay-Lac-Saint-Jean,2,1,,1,"1,060 ","180,833.70 ","2 436,00 $","195,00 $",,
"102-572, boulevard Saint-Luc",289 000 $,St-Jean-sur-Richelieu (St-Luc),Montérégie (Rive-Sud Montréal),2,1,,1,"1,000 ","1,865.39 ","1 672,00 $","138,00 $","80,00 $",
"108-110, rue Grégoire",289 000 $,St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),Montérégie (Rive-Sud Montréal),1,1,,,,26.25x22.97 ,"2 341,00 $",,,
"6, rue du Bocage - Par Blais Construction",289 000 $,St-Anselme,Chaudière-Appalaches,3,1,1,2,"1,487 ","4,520.84 ",,,,
"1719, rue de la Guinée",289 000 $,Val-Bélair,Québec Rive-Nord,2,1,1,1,548.96 ,"3,195.81 ","2 311,68 $","198,15 $",,
"14, chemin Bellevue",289 000 $,Austin,Estrie,,,,,,"31,278.85 ","134,58 $","93,95 $",,
"2009, rue Perron",289 000 $,Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,4,1,1,1,38.32x31.99 ,70.01x104.99 ,"2 000,00 $","145,00 $",,"1 200,00 $"
"865, rue du Moulin",289 000 $,Magog,Estrie,2,1,1,2,"1,094.69 ","15,112.53 ","1 742,00 $","225,00 $","1 765,00 $",
"7971A, boulevard Wilfrid-Hamel",289 000 $,Ste-Foy,Québec Rive-Nord,2,1,1,1,640 ,"3,046 ","2 411,00 $","211,00 $","1 310,00 $",
"160, rue Saint-Pierre Ouest",289 000 $,Ste-Luce (Luceville),Bas-Saint-Laurent,3,1,1,1,"1,073 ","7,725.26 ","2 016,00 $","139,00 $",,
"2330, rue Saint Albert",289 000 $,St-Romuald,Québec Rive-Sud (Lévis),3,1,,2,"1,702 ","3,445 ","2 563,32 $","226,62 $","2 364,00 $","840,00 $"
"120, rue Matis",289 000 $,St-Alexandre-D'Iberville,Montérégie (Rive-Sud Montréal),2,1,,1,975 ,,"1 544,00 $","155,00 $",,
"103-16749, boulevard de Pierrefonds",289 000 $,Pierrefonds / Roxboro,Montréal / l'Île,2,1,,1,917 ,,"1 504,60 $","167,90 $",,
"2024, route 161",289 000 $,Beaulac Garthby,Chaudière-Appalaches,3,2,,2,"1,416 ","53,820 ","1 234,74 $","95,00 $",,
"5-4701, rue des Berges-du-Saint-Laurent",289 000 $,Sorel-Tracy,Montérégie (Rive-Sud Montréal),2,1,,3,902 ,21 057.43 ,"2 235,06 $","146,53 $","642,96 $","620,21 $"
"3-12300, rue René Chopin",289 000 $,Rivière des Prairies,Montréal / l'Île,2,1,,1,900 ,"6,165 ","1 623,00 $","163,00 $","1 008,00 $","620,00 $"
"520, chemin du Roi",289 000 $,Cap-Santé,Portneuf,3,1,,1,900 ,"45,000 ",,,,
"126, rue Décarie",289 000 $,Cowansville,Estrie,2,1,,1,"1,056 ","7,000 ","1 914,43 $","131,50 $","1 300,00 $",
"97, rue Montcalm",289 000 $,Rivière-Du-Loup,Bas-Saint-Laurent,3,1,1,1,25x40 ,6 899.67 ,"2 645,73 $","156,16 $",,
"14, rue Marie-Pasquier",289 500 $,Beaumont,Chaudière-Appalaches,3,2,1,2,1 176 ,4 650 ,"2 620,00 $","227,00 $","1 512,00 $","590,00 $"
"403-2415, boulevard Gaétan-Boucher",289 500 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),2,1,,3,1 059 ,,"1 339,18 $","126,98 $","675,54 $",
"2275, route 337",289 700 $,Ste-Julienne,Lanaudière,2,1,,3,"1,150 ",,"2 275,00 $","129,00 $",,
"554, boulevard des Hautes Plaines",289 800 $,Gatineau (Hull),Outaouais,2,1,,1,875.1 ,,,,,
"574, rue René-Richard - Par Terrain Dev Immobilier inc.",289 900 $,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),2,1,1,2,,4 443 ,,,,
rue des Arpents Verts - Par Construction APNR,289 900 $,Ste-Marie,Chaudière-Appalaches,3,1,1,2,"1,440 ","3,735 ",,,,
"254, rang Terrebonne",289 900 $,Ste-Perpétue-de-L'Islet,Chaudière-Appalaches,,1,,1,437 ,"9,041,684.78 ","1 714,96 $","137,64 $",,"750,00 $"
"24, rue des Sarcelles",289 900 $,Victoriaville,Centre-du-Québec,3,2,,1,851 ,3 589.38 ,"2 371,12 $","131,94 $","2 468,00 $",
"109, rang Saint-Guillaume",290 000 $,St-Léon-De-Standon,Chaudière-Appalaches,2,1,1,3,"1,152 ",400x80 ,"1 300,00 $","200,00 $","1 600,00 $","500,00 $"
", boulevard Renault",290 000 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,,,,,,"32,081 ",,,,
"3, chemin du Lac-Bertrand",290 000 $,St-Hippolyte,Laurentides,,,,,,"27,000 ",,,,
"56-66, Beaurivage Nord",290 000 $,Ste-Florence,Bas-Saint-Laurent,20,10,,,,"40,106.33 ","5 595,31 $","150,84 $","1 109,28 $","7 456,56 $"
"118, rue Melançon",290 000 $,St-Bruno,Saguenay-Lac-Saint-Jean,,,,,,"6,381.92 ","4 441,25 $",,,
"241, rue Saint-Georges",290 000 $,St-Barnabe-Nord,Mauricie,4,1,1,3,"4,000 ","29,700 ","2 460,00 $","150,00 $","3 765,00 $",
"101-1130, rue des Rigoles",290 000 $,Val-Bélair,Québec Rive-Nord,2,1,,1,"1,082 ","4,215 ","2 650,81 $","226,99 $","980,00 $",
"14931, boulevard Valcartier",290 000 $,Loretteville,Québec Rive-Nord,3,2,2,2,"1,115.14 ","6,349 ","2 360,00 $","195,92 $","1 460,00 $",
"1474, rue de Lorraine",290 000 $,Charlesbourg,Québec Rive-Nord,4,1,1,1,863.16 ,4 778.10 ,,,,
"4-1357, boulevard Iberville",290 000 $,Repentigny (Repentigny),Lanaudière,2,1,,1,898.79 ,"1,627.50 ","2 210,00 $","145,00 $",,
"57, rue Beaulieu",290 000 $,Rivière-Du-Loup,Bas-Saint-Laurent,3,2,,1,32.28x26.18 ,"3,831.95 ","2 806,76 $","170,74 $","1 959,24 $","938,49 $"
"9905, rue de Martigny",290 000 $,Lebourgneuf,Québec Rive-Nord,3,1,1,2,1 020 ,4 763.03 ,,,,
"200, rue Gamma",290 000 $,Drummondville (St-Nicéphore),Centre-du-Québec,3,2,1,1,864 ,17 500 ,"1 822,50 $","166,04 $","2 000,00 $","1 700,00 $"
"409-8065, boulevard du Saint-Laurent",290 000 $,Brossard,Montérégie (Rive-Sud Montréal),1,1,,1,785.6 ,,"1 039,65 $","146,77 $","651,24 $","353,16 $"
"1500, chemin Saint-Michel",290 500 $,Alma,Saguenay-Lac-Saint-Jean,4,2,2,1,"1,120 ",140.42x115 ,"61 572,97 $","299,15 $",,
"1481, rue de Cabourg - Par Nicolas Savard Construction",291 900 $,Val-Bélair,Québec Rive-Nord,3,1,1,1,620 ,"3,355.11 ",,,,
"103-521, rue Jean-François-Drouin - Domaine St-Joseph",291 900 $,Beauport,Québec Rive-Nord,2,1,1,1,"1,180 ",,,,,
rue Jacques-Bédard - Par les Construction T. Ouellet,291 900 $,Lac-St-Charles,Québec Rive-Nord,3,1,1,2,"1,190 ",,,,,
"9201, rue Notre-Dame Est - Unité #311 - Les Cours Bellerive Phase 2",292 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,1,1,,1,593 ,,,,,
"18, Montée de la Pointe-aux-Sables - Par Construction Rénovation Portneuf",292 000 $,Cap-Santé,Portneuf,2,1,,1,946 ,"6,240 ",,,,
"678, rue du Ressac",292 000 $,Rimouski (Rimouski-Est),Bas-Saint-Laurent,3,2,,1,952.61 ,6 300.12 ,"2 252,50 $","153,60 $",,
"1042, rue du Prince-Albert",292 000 $,Charlesbourg,Québec Rive-Nord,2,1,1,2,1 221.70 ,2 214.14 ,"2 383,24 $","201,39 $","1 320,00 $",
"936, rue des Atikamekw - Par Les Constructions Reno Plourde inc.",292 200 $,Beauport,Québec Rive-Nord,2,1,1,2,"1,060 ",,,,,
rue Rose-A. Beaudoin - Par S.G. Habitations inc.,292 852 $,Pintendre,Québec Rive-Sud (Lévis),3,1,1,1,,,,,,
"3600, rue Rachel - Le Rachel Condominiums",292 900 $,Rosemont / La Petite Patrie,Montréal / l'Île,2,1,,1,,,,,,
"511, route 108",293 000 $,Beauceville,Chaudière-Appalaches,3,2,,1,"1,200 ","29,000 ","1 546,61 $","85,58 $","2 085,00 $","1 900,00 $"
rue Haute-Rive - Domaine Haute-RIve - Par les Constructions Christian Belleau,293 600 $,East Angus,Estrie,3,2,,1,870 ,"3,573 ",,,,
rue de la Tourbière - Par Construction APP inc.,293 900 $,St-Raymond,Portneuf,2,1,,1,,,,,,
"14, rue du Vieux-Quai",294 000 $,Sept-Iles,Côte-Nord,4,2,1,2,"2,256 ",98.00x105.25 ,"3 256,21 $","254,51 $","3 418,93 $",
"Lot 2 747 179, chemin Laperrière",294 000 $,Shawinigan (Grand-Mère),Mauricie,,,,,,"43,560.00 ",,,,
"1283, rue du Ciné-Parc",294 000 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,2,1,,1,980 ,"3,875.01 ","2 670,40 $","151,99 $","1 894,00 $","896,00 $"
"2230, chemin du Foulon",294 000 $,Sillery,Québec Rive-Nord,2,1,1,2,527.43 ,"9,741.34 ","2 587,00 $","260,00 $","1 400,00 $",
"754, rue du Mont-Brome",294 000 $,Granby,Estrie,2,1,,1,1 097 ,1 918.77 ,"1 838,00 $","146,00 $","668,00 $","386,00 $"
"7-715, avenue Belvédère",294 500 $,Montcalm,Québec Rive-Nord,3,1,,1,"1,035.49 ",,"2 327,00 $","200,00 $","400,00 $","500,00 $"
"1079, rue de la Manche",294 500 $,St-Jean-Chrysostome,Québec Rive-Sud (Lévis),4,1,1,1,813.75 ,48.00x147.64 ,"2 292,00 $","193,07 $","1 200,00 $","851,29 $"
chemin des Anémones,294 750 $,Stoneham,Québec Rive-Nord,,,,,,"5,706,360.02 ","240,00 $","50,00 $",,
"311, chemin des Raymond",294 900 $,Rivière-Du-Loup,Bas-Saint-Laurent,4,2,,2,"1,350 ","44,537.83 ","1 500,00 $","78,00 $","1 600,00 $",
"8-24, rue Hogue",294 900 $,Ste-Therese,Laurentides,1,1,1,3,755 ,,"2 200,00 $","125,00 $","650,00 $","420,00 $"
"1174, rue Aurélie-Matte",295 000 $,St-Félicien,Saguenay-Lac-Saint-Jean,4,2,2,1,"1,336 ","8,337.72 ","3 690,00 $","270,00 $","2 820,00 $","927,24 $"
"503-1, rue des Jardins-Merici",295 000 $,Montcalm,Québec Rive-Nord,1,1,,1,841 ,,"2 443,00 $","186,00 $",,
"4-38, rue des Seigneurs",295 000 $,Breakeyville,Québec Rive-Sud (Lévis),2,2,1,2,"1,300 ","1,845 ","1 368,00 $","502,00 $","1 560,00 $","612,00 $"
"C-6294, boulevard Laframboise",295 000 $,St-Hyacinthe (St-Thomas-D'Aquin),Montérégie (Rive-Sud Montréal),2,1,1,1,"1,050 ",,"1 658,00 $","533,00 $","625,00 $","240,00 $"
"680, 16e Rue",295 000 $,Shawinigan (Grand-Mère),Mauricie,8,5,,,,895.7 ,"5 017,69 $","300,00 $","2 700,00 $","2 500,00 $"
"1150, rue Notre-Dame",295 000 $,Champlain,Mauricie,,,,,,"14,014 ","727,00 $","88,00 $",,
"72-78, rue Joseph-W.-Fleury",295 000 $,Alma,Saguenay-Lac-Saint-Jean,8,4,,,,164.04x196.85 ,"3 287,35 $","146,29 $","1 107,00 $","2 254,00 $"
"50, rue Saint-Georges",295 000 $,Ste-Angèle-De-Merici,Bas-Saint-Laurent,4,1,1,1,"1,040 ","17,583.92 ","2 213,16 $","312,95 $","1 082,00 $",
"57, chemin du Domaine",295 000 $,Beaumont,Chaudière-Appalaches,4,2,1,3,"2,533 ","5,000 ","2 598,00 $","194,00 $","1 375,00 $","939,00 $"
rue Cantin - À construire - Par Construction CJP Inc.,295 000 $,Donnacona,Portneuf,2,1,,1,,,,,,
"1452, rue Allard",295 000 $,Baie-Comeau,Côte-Nord,3,1,1,2,"1,005 ","6,100 ","5 310,00 $","235,00 $","1 493,00 $",
"553, avenue de la Vallée",295 000 $,Ste-Angèle-De-Merici,Bas-Saint-Laurent,4,2,1,218,"1,728 ","18,000 ","2 200,00 $","300,00 $",,
